Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
246.1,2024-12-31,Tuesday,09:19:00,343.35,20,CE,78400.0,Sell,2024-12-31,Tuesday,10:23:00,343.35,-0.0,-0.0,2025-01-03,,,Stop Loss Hit
246.2,2024-12-31,Tuesday,09:19:00,341.4,20,PE,77600.0,Sell,2024-12-31,Tuesday,09:44:00,426.75,-1707.0000000000005,-25.000000000000007,2025-01-03,,,Stop Loss Hit
247,2025-01-01,,09:19:00,78251.76,,,,,2025-01-01,,10:13:00,78161.84,-1815.0,,,705.0,-1815.0,
247.1,2025-01-01,Wednesday,09:19:00,374.4,20,CE,78600.0,Sell,2025-01-01,Wednesday,10:13:00,374.4,-0.0,-0.0,2025-01-03,,,Stop Loss Hit
247.2,2025-01-01,Wednesday,09:19:00,362.95,20,PE,77900.0,Sell,2025-01-01,Wednesday,09:44:00,453.7,-1815.0,-25.003444000551042,2025-01-03,,,Stop Loss Hit
248,2025-01-02,,09:19:00,78703.25,,,,,2025-01-02,,09:35:00,78656.88,-1856.0,,,9.0,-1856.0,
248.1,2025-01-02,Thursday,09:19:00,342.35,20,CE,79100.0,Sell,2025-01-02,Thursday,09:35:00,342.35,-0.0,-0.0,2025-01-03,,,Stop Loss Hit
248.2,2025-01-02,Thursday,09:19:00,371.15,20,PE,78400.0,Sell,2025-01-02,Thursday,09:31:00,463.95,-1856.0000000000002,-25.003367910548302,2025-01-03,,,Stop Loss Hit
249,2025-01-03,,09:19:00,79883.05,,,,,2025-01-03,,15:15:00,79237.41,5806.0,,,5806.0,-1041.0,Exit Condition Met For Trade
249.1,2025-01-03,Friday,09:19:00,372.0,20,CE,79700.0,Sell,2025-01-03,Friday,15:15:00,0.3,7434.0,99.91935483870968,2025-01-03,,,Exit Condition Met For Trade
249.2,2025-01-03,Friday,09:19:00,325.55,20,PE,80000.0,Sell,2025-01-03,Friday,09:25:00,406.95,-1627.9999999999995,-25.003839655966818,2025-01-03,,,Stop Loss Hit
250,2025-01-06,,09:19:00,79285.18,,,,,2025-01-06,,09:30:00,79368.02,-3403.0,,,1409.0,-3403.0,
250.1,2025-01-06,Monday,09:19:00,330.15,20,CE,79300.0,Sell,2025-01-06,Monday,09:30:00,412.7,-1651.0000000000002,-25.003786157807063,2025-01-07,,,Stop Loss Hit
250.2,2025-01-06,Monday,09:19:00,350.45,20,PE,79300.0,Sell,2025-01-06,Monday,09:30:00,438.05,-1752.0000000000005,-24.996433157369104,2025-01-07,,,Stop Loss Hit
251,2025-01-07,,09:19:00,78373.37,,,,,2025-01-07,,15:15:00,78174.82,5318.0,,,5318.0,0,Exit Condition Met For Trade
251.1,2025-01-07,Tuesday,09:19:00,356.05,20,CE,78300.0,Sell,2025-01-07,Tuesday,15:15:00,0.25,7116.0,99.92978514253616,2025-01-07,,,Exit Condition Met For Trade
251.2,2025-01-07,Tuesday,09:19:00,359.55,20,PE,78500.0,Sell,2025-01-07,Tuesday,09:50:00,449.45,-1797.9999999999995,-25.003476567932132,2025-01-07,,,Stop Loss Hit
252,2025-01-08,,09:19:00,78135.44,,,,,2025-01-08,,14:22:00,78226.59,-1851.0,,,2157.0,-1851.0,
252.1,2025-01-08,Wednesday,09:19:00,343.55,20,CE,78800.0,Sell,2025-01-08,Wednesday,14:22:00,344.45,-17.999999999999545,-0.2619706010769836,2025-01-14,,,Stop Loss Hit
252.2,2025-01-08,Wednesday,09:19:00,366.65,20,PE,77500.0,Sell,2025-01-08,Wednesday,10:42:00,458.3,-1833.0000000000007,-24.996590754125197,2025-01-14,,,Stop Loss Hit
253,2025-01-09,,09:19:00,77929.14,,,,,2025-01-09,,15:15:00,77618.15,243.0,,,1433.0,-1372.0,Exit Condition Met For Trade
253.1,2025-01-09,Thursday,09:19:00,347.6,20,CE,78300.0,Sell,2025-01-09,Thursday,15:15:00,249.05,1971.0000000000002,28.35155350978136,2025-01-14,,,Exit Condition Met For Trade
253.2,2025-01-09,Thursday,09:19:00,345.65,20,PE,77600.0,Sell,2025-01-09,Thursday,10:53:00,432.05,-1728.0000000000007,-24.996383625054257,2025-01-14,,,Stop Loss Hit
254,2025-01-10,,09:19:00,77829.56,,,,,2025-01-10,,11:16:00,77895.51,-1718.0,,,1420.0,-1718.0,
254.1,2025-01-10,Friday,09:19:00,358.2,20,CE,78000.0,Sell,2025-01-10,Friday,11:16:00,358.2,-0.0,-0.0,2025-01-14,,,Stop Loss Hit
254.2,2025-01-10,Friday,09:19:00,343.5,20,PE,77500.0,Sell,2025-01-10,Friday,09:34:00,429.4,-1717.9999999999995,-25.00727802037845,2025-01-14,,,Stop Loss Hit
255,2025-01-13,,09:19:00,76704.78,,,,,2025-01-13,,13:49:00,76497.87,-1712.0,,,1594.0,-1712.0,
255.1,2025-01-13,Monday,09:19:00,342.5,20,CE,76800.0,Sell,2025-01-13,Monday,10:03:00,428.1,-1712.0000000000005,-24.992700729927012,2025-01-14,,,Stop Loss Hit
255.2,2025-01-13,Monday,09:19:00,361.95,20,PE,76700.0,Sell,2025-01-13,Monday,13:49:00,361.95,-0.0,-0.0,2025-01-14,,,Stop Loss Hit
256,2025-01-14,,09:19:00,76705.77,,,,,2025-01-14,,15:15:00,76513.77,4642.0,,,4642.0,-1352.0,Exit Condition Met For Trade
256.1,2025-01-14,Tuesday,09:19:00,323.15,20,CE,76500.0,Sell,2025-01-14,Tuesday,15:15:00,7.85,6305.999999999999,97.57078755995667,2025-01-14,,,Exit Condition Met For Trade
256.2,2025-01-14,Tuesday,09:19:00,332.8,20,PE,76900.0,Sell,2025-01-14,Tuesday,10:19:00,416.0,-1663.9999999999998,-24.999999999999993,2025-01-14,,,Stop Loss Hit
257,2025-01-15,,09:19:00,76787.67,,,,,2025-01-15,,10:45:00,76913.7,-1854.0,,,408.0,-1854.0,
257.1,2025-01-15,Wednesday,09:19:00,337.8,20,CE,77300.0,Sell,2025-01-15,Wednesday,10:45:00,337.8,-0.0,-0.0,2025-01-21,,,Stop Loss Hit
257.2,2025-01-15,Wednesday,09:19:00,370.8,20,PE,76400.0,Sell,2025-01-15,Wednesday,09:39:00,463.5,-1853.9999999999998,-24.999999999999993,2025-01-21,,,Stop Loss Hit
258,2025-01-16,,09:19:00,77145.81,,,,,2025-01-16,,12:46:00,77045.93,-1822.0,,,236.0,-1822.0,
